Team,Division,Number,Player,Position,Height,Goals,Assists,Ds,Turnovers
Colorado (Mamabird),Men's,28,ANDREW NELSON,Deep,"6'0""",11,5,,
Colorado (Mamabird),Men's,29,MATT GLEASON,Deep,,6,5,,
Colorado (Mamabird),Men's,32,KEVIN JOHNSON,Handler,"5'10""",10,2,,
Colorado (Mamabird),Men's,44,JESSE FISHER,Mid,"6'0""",,,,
Colorado (Mamabird),Men's,80,JEREMY HARKER,Defense (Handler),"6'2""",3,5,,
Colorado (Kali),Women's,3,AMY LEDER,,"5'10""",3,3,,
Colorado (Kali),Women's,4,NHI NGUYEN,,"5'5""",5,3,,
Colorado (Kali),Women's,5,LEILANI NELSON,,"5'5""",1,,,
Colorado (Kali),Women's,8,JEAN  RUSSELL,,,2,4,,
Colorado (Kali),Women's,9,KIRSTIN JOHNSON,,"5'4""",3,7,,
Colorado (Kali),Women's,11,MEGAN HENDERSON,,,2,,,
Colorado (Kali),Women's,13,JESSICA CHESNUT,,"5'4""",2,2,,
Colorado (Kali),Women's,15,DOROTHE FRANKLIN,,"1'0""",2,9,,
Colorado (Kali),Women's,16,MEGAN COUSINS,,"5'7""",10,11,,
Colorado (Kali),Women's,17,Melinda Alvey,,"5'8""",3,1,,
Colorado (Kali),Women's,19,EMMA CARR,,,4,2,,
Colorado (Kali),Women's,20,KENZIE WEED,,"1'0""",4,3,,
Colorado (Kali),Women's,24,HILARY EGAN,,"5'2""",3,2,,
Colorado (Kali),Women's,29,LISA DOAN,,,3,7,,
Colorado (Kali),Women's,32,ALANA CHEN,,"5'7""",4,,,
Colorado (Kali),Women's,42,KATHARINE HEIL,,"5'4""",4,10,,
Colorado (Kali),Women's,65,MEGAN IVES,,"5'6""",5,1,,
Colorado (Kali),Women's,69,SARAH FERRARO,,"5'5""",,1,,
Colorado (Kali),Women's,90,SONIA SZETON,,,2,,,
Colorado (Kali),Women's,97,CELESTE HAVENER,,,6,2,,
Colorado (Kali),Women's,99,KELSEY BENNETT,,,2,2,,
Massachusetts (Zoodisc),Men's,1,CONOR DOWLING,Deep,,1,1,,
Massachusetts (Zoodisc),Men's,2,Patrick Barron,Deep,"6'1""",,,,
Massachusetts (Zoodisc),Men's,3,ELLIOT LEE,Deep,"5'8""",1,3,,
Massachusetts (Zoodisc),Men's,4,CIARAN SHAUGHNESSY,Deep,"5'10""",,1,,
Massachusetts (Zoodisc),Men's,5,Jackson Barron,Deep,,2,2,,
Massachusetts (Zoodisc),Men's,7,MAXWELL PERHAM,Deep,,2,4,,
Massachusetts (Zoodisc),Men's,8,BEN  SADOK,Deep,"5'6""",7,8,,
Massachusetts (Zoodisc),Men's,10,WESLEY JOHNSON,Deep,,1,,,
Massachusetts (Zoodisc),Men's,11,CONOR KLINE,Deep,,12,4,,
Massachusetts (Zoodisc),Men's,14,GABRIEL SCHMITT,Deep,"5'11""",,,,
Massachusetts (Zoodisc),Men's,18,BRETT GRAMANN,Deep,"5'9""",4,16,,
Massachusetts (Zoodisc),Men's,19,GEORGE MILNE,Deep,,,2,,
Massachusetts (Zoodisc),Men's,21,MANIT MUNSHI,Deep,"6'1""",13,,,
Massachusetts (Zoodisc),Men's,22,BEN TSEYTLIN,Deep,,1,8,,
Massachusetts (Zoodisc),Men's,23,PAUL TRAVERS,Deep,"1'0""",,,,
Massachusetts (Zoodisc),Men's,27,DANIEL ROACH,Deep,"5'10""",,,,
Massachusetts (Zoodisc),Men's,28,AARON RASKIN,Deep,"6'4""",,,,
Massachusetts (Zoodisc),Men's,31,JEFFREY BABBITT,Deep,"6'2""",23,15,,
Massachusetts (Zoodisc),Men's,33,WILL THORNTON,Deep,"5'10""",,,,
Massachusetts (Zoodisc),Men's,34,JEFFREY DREYFUS,Deep,,1,2,,
Massachusetts (Zoodisc),Men's,44,GIANCARLO CINCOTTA,Deep,,2,4,,
Massachusetts (Zoodisc),Men's,47,ALEC ZABRECKY,Deep,,,,,
Massachusetts (Zoodisc),Men's,76,SOLOMON Maerowitz-McMahan,Deep,,,,,
Massachusetts (Zoodisc),Men's,80,Chris Bartoli,Deep,"6'0""",,,,
Massachusetts (Zoodisc),Men's,84,COLIN HANNAHAN,Deep,,,,,
Dartmouth (Princess Layout),Women's,1,SOPHIA SIU,,,3,,,
Dartmouth (Princess Layout),Women's,2,SARAH HEYBORNE,,,3,1,,
Dartmouth (Princess Layout),Women's,3,Carolyn Susman,,,8,,,
Dartmouth (Princess Layout),Women's,4,MADELINE PARISH,,,2,1,,
Dartmouth (Princess Layout),Women's,5,QINGYUN LU,,,5,,,
Dartmouth (Princess Layout),Women's,6,PIPER CURTIS,,,14,2,,
Dartmouth (Princess Layout),Women's,7,LILLIAN HUANG,,,1,,,
Dartmouth (Princess Layout),Women's,8,ANGELA ZHU,,"1'0""",6,27,,
Dartmouth (Princess Layout),Women's,9,KATY PEAKE,,,1,8,,
Dartmouth (Princess Layout),Women's,11,PATRICIA NECKOWICZ,,,6,3,,
Dartmouth (Princess Layout),Women's,14,LILY EISNER,,,,2,,
Dartmouth (Princess Layout),Women's,16,Gaby Javitt,,,,,,
