Team,Division,Number,Player,Position,Height,Goals,Assists,Ds,Turnovers
UCLA (BLU),Women's,11,Sylvia Liang,,,6,,,
UCLA (BLU),Women's,13,ALEXIS WHITAKER,,,2,,,
UCLA (BLU),Women's,14,JULIA TANG,,,1,8,,
UCLA (BLU),Women's,15,Claire Simpson,,"5'2""",,,,
UCLA (BLU),Women's,16,ALYSSA WORSHAM,,,1,2,,
UCLA (BLU),Women's,17,MARGOT STERT,,"5'9""",4,12,,
UCLA (BLU),Women's,18,Camille Wilson,,,12,2,,
UCLA (BLU),Women's,19,Rachel Wilson,,"1'0""",,,,
UCLA (BLU),Women's,20,Vivian Griffey,,,,,,
UCLA (BLU),Women's,21,Kerrie Tonking,,"5'8""",,,,
UCLA (BLU),Women's,22,Caroline McKee,Defense (Cutter),"5'7""",1,,,
UCLA (BLU),Women's,23,BREANNA DIRKSE,,,4,1,,
UCLA (BLU),Women's,25,Han Chen,,"1'0""",11,20,,
UCLA (BLU),Women's,31,KATHLEEN LO,,"5'2""",1,4,,
UCLA (BLU),Women's,41,ANN LEE,,,6,2,,
UCLA (BLU),Women's,89,TIANA RANGCHI,,,,,,
UCLA (BLU),Women's,99,MARIA KAZANTSEV,,"5'10""",,2,,
Wisconsin (Hodags),Men's,0,BRIAN NOVOTNY,Defense (Cutter),"6'0""",4,,,
Wisconsin (Hodags),Men's,2,BRANAVAN YOGARAJAH,Defense (Cutter),,1,1,,
Wisconsin (Hodags),Men's,3,NICHOLAS VOGT,Mid,"6'1""",5,1,,
Wisconsin (Hodags),Men's,6,GORDON PETERSON,Handler,"1'0""",,,,
Wisconsin (Hodags),Men's,7,AVERY JOHNSON,Handler,"5'11""",1,4,,
Wisconsin (Hodags),Men's,9,ERIK JORGENSEN,Defense (Cutter),,1,,,
Wisconsin (Hodags),Men's,11,STERLING KNOCHE,Defense (Cutter),,3,3,,
Wisconsin (Hodags),Men's,12,CHRIS WILEN,Defense (Cutter),,7,5,,
Wisconsin (Hodags),Men's,13,DAVID YU,Defense (Handler),"5'9""",,1,,
Wisconsin (Hodags),Men's,14,WILLIAM KLUENDER,Mid,,8,2,,
Wisconsin (Hodags),Men's,16,DANIEL  STULIGROSS,Defense (Handler),"5'8""",1,3,,
Wisconsin (Hodags),Men's,17,Thomas GALLAGHER,Handler,"5'9""",,1,,
Wisconsin (Hodags),Men's,20,NICK ZEMAN,Defense (Cutter),,2,2,,
Wisconsin (Hodags),Men's,22,AARON SPEISS,Deep,"5'10""",4,7,,
Wisconsin (Hodags),Men's,23,GRAEME KERNICK,Handler,"6'0""",1,2,,
Wisconsin (Hodags),Men's,24,WALTER CAI,Defense (Cutter),"6'1""",1,1,,
Wisconsin (Hodags),Men's,25,ROSS BARKER,Deep,"5'11""",16,5,,
Wisconsin (Hodags),Men's,26,Eric von Kampen,Defense (Handler),"5'9""",2,,,
Wisconsin (Hodags),Men's,33,SHANE SADDISON-BRADFORD,Defense (Cutter),"6'2""",1,1,,
Wisconsin (Hodags),Men's,37,JAN SZMANDA,Defense (Handler),,1,,,
Wisconsin (Hodags),Men's,41,COLIN SUNDE,Mid,,2,8,,
Wisconsin (Hodags),Men's,44,NICHOLAS LADAS,Defense (Handler),,3,4,,
Wisconsin (Hodags),Men's,57,AUSTIN REIF,Defense (Handler),"5'10""",,1,,
Wisconsin (Hodags),Men's,84,CRAIG COX,Mid,"6'6""",2,14,,
Wisconsin (Hodags),Men's,99,BRANDON TAITT,Defense (Cutter),"6'0""",,,,
Washington (Element),Women's,0,BAILEY BONACI,,,1,2,,
Washington (Element),Women's,0,EDRIENNE  CHAN,,"5'4""",2,,,
Washington (Element),Women's,0,LIZ CONWAY,,"5'8""",,,,
Washington (Element),Women's,0,EMMA KAHLE,,"1'0""",2,18,,
Washington (Element),Women's,0,KRISTIN POINAR,,"1'0""",4,3,,
Washington (Element),Women's,0,EUGENIA PREZHDO,,,1,,,
Washington (Element),Women's,0,LAUREN SADLER,,"5'2""",3,17,,
Washington (Element),Women's,0,ANDREA WILLSON,,"1'0""",,,,
Washington (Element),Women's,0,TESSORA YOUNG,,"5'8""",13,2,,
Washington (Element),Women's,3,SAMANTHA HING,,,1,2,,
Washington (Element),Women's,11,NORA LANDRI,,,9,3,,
Washington (Element),Women's,13,Katie Meyer,,"5'6""",2,2,,
Washington (Element),Women's,14,Nicole Cramer,,"5'6""",5,1,,
Washington (Element),Women's,16,Kate Wilburn,,,,,,
Washington (Element),Women's,17,VICKIE SU,,"1'0""",3,2,,
Washington (Element),Women's,18,Allison Tjader,,"5'6""",1,,,
Washington (Element),Women's,20,Grace Noah,,"5'6""",10,2,,
Washington (Element),Women's,21,Camille Canter,,"5'7""",1,8,,
Washington (Element),Women's,22,SARAH EDWARDS,,,2,2,,
Washington (Element),Women's,37,BAILEY KILMER,,"1'0""",,,,
Washington (Element),Women's,99,NOELLE TAKAHASHI,,"5'6""",6,1,,
California-Santa Barbara (Black Tide),Men's,0,Mitchell Solkov,Defense (Cutter),"5'9""",,,,
California-Santa Barbara (Black Tide),Men's,1,Jeffrey Frye,Defense (Cutter),"5'8""",2,2,,
California-Santa Barbara (Black Tide),Men's,2,Jack Hamner,,"6'3""",2,1,,
California-Santa Barbara (Black Tide),Men's,3,MIKE SALE,,,1,1,,
California-Santa Barbara (Black Tide),Men's,4,Matt Daly,Defense (Cutter),,,2,,
California-Santa Barbara (Black Tide),Men's,5,IAN LADNER,,,1,2,,
California-Santa Barbara (Black Tide),Men's,6,Gabe Runte,Defense (Cutter),,,,,
California-Santa Barbara (Black Tide),Men's,7,PETER DENNIS,Defense (Cutter),"6'7""",1,,,
California-Santa Barbara (Black Tide),Men's,8,Bailey Wu,Defense (Cutter),,,,,
California-Santa Barbara (Black Tide),Men's,9,Michael Lee,Defense (Cutter),,,,,
California-Santa Barbara (Black Tide),Men's,10,SEAN SMITH,,,6,2,,
California-Santa Barbara (Black Tide),Men's,11,ADONAY BAHTA,Deep,,1,1,,
California-Santa Barbara (Black Tide),Men's,12,Brendan Champlin,Handler,"5'10""",1,,,
California-Santa Barbara (Black Tide),Men's,13,GRANT NOVINS,,,2,3,,
California-Santa Barbara (Black Tide),Men's,14,WILLIAM TURNER,,,5,4,,
California-Santa Barbara (Black Tide),Men's,15,Alex Heinzen,,,2,3,,
California-Santa Barbara (Black Tide),Men's,16,Nathan Ransom,,,2,,,
California-Santa Barbara (Black Tide),Men's,17,HUNTER  CORBETT,,,9,9,,
California-Santa Barbara (Black Tide),Men's,19,Evan Bosinger,Defense (Cutter),,,,,
California-Santa Barbara (Black Tide),Men's,20,HAAKON ELLINGBOE,,,1,,,
California-Santa Barbara (Black Tide),Men's,21,AIDAN HALL,Defense (Handler),,1,,,
California-Santa Barbara (Black Tide),Men's,22,ADAM FISCHER,,"6'0""",3,7,,
California-Santa Barbara (Black Tide),Men's,25,BRETT PLOUSSARD,,,6,5,,
California-Santa Barbara (Black Tide),Men's,28,KYLE RUBIN,,"5'11""",5,11,,
California-Santa Barbara (Black Tide),Men's,32,Kieran Bates,Defense (Cutter),,,1,,
California-Santa Barbara (Black Tide),Men's,34,Arthur Pan,Defense (Cutter),,,1,,
California-Santa Barbara (Black Tide),Men's,39,Jordan Lund,Defense (Handler),,,,,
California-Santa Barbara (Black Tide),Men's,87,TAYLOR ROBERTS,,,7,,,
Kansas (Betty Ultimate),Women's,0,Jordan Alonzo,,"5'6""",1,1,,
Kansas (Betty Ultimate),Women's,0,Mackenzie Burns,,,,,,
Kansas (Betty Ultimate),Women's,0,Annie Wangles,,,,,,
Kansas (Betty Ultimate),Women's,2,KATE ESHELMAN,,,4,5,,
Kansas (Betty Ultimate),Women's,4,McKenzie Ensminger,,,,,,
Kansas (Betty Ultimate),Women's,5,Katrina Kaus,,,9,,,
Kansas (Betty Ultimate),Women's,7,Malaina Piyassaphan,,,,,,
Kansas (Betty Ultimate),Women's,8,Lilly Bakker,,,2,,,
Kansas (Betty Ultimate),Women's,9,Brandi Schneider,,,3,,,
Kansas (Betty Ultimate),Women's,12,CLARE FRANTZ,,,,,,
Kansas (Betty Ultimate),Women's,13,CAMILLE CURLEY,,,1,,,
Kansas (Betty Ultimate),Women's,14,Kelsey Akin,,,9,5,,
Kansas (Betty Ultimate),Women's,16,Allison Showalter,,,,,,
Kansas (Betty Ultimate),Women's,17,CAITLIN FITZGERALD,,,4,17,,
Kansas (Betty Ultimate),Women's,17,Sydney Nelson,,,,,,
Kansas (Betty Ultimate),Women's,19,molly welsh,,"5'2""",,,,
Kansas (Betty Ultimate),Women's,20,NADINE ROWEN,,,,1,,
Kansas (Betty Ultimate),Women's,21,JORDAN KACZOR,,,1,,,
Kansas (Betty Ultimate),Women's,22,KAILEE KARR,,,14,10,,
Kansas (Betty Ultimate),Women's,23,ALEXA  KACZOR,,,5,3,,
Kansas (Betty Ultimate),Women's,24,Grace Roth,,,1,,,
Kansas (Betty Ultimate),Women's,25,Miriam Mechache,,,,,,
Kansas (Betty Ultimate),Women's,27,MEGAN BURNS,,,3,,,
Kansas (Betty Ultimate),Women's,29,Samantha Agranoff,,,,,,
Kansas (Betty Ultimate),Women's,31,JENNIFER CORCORAN,,,4,20,,
Kansas (Betty Ultimate),Women's,32,Titi Galeazzi,,,,,,
Kansas (Betty Ultimate),Women's,37,Stasha Beermann,,,,,,
Kansas (Betty Ultimate),Women's,42,Haley Williams,,,,,,
Kansas (Betty Ultimate),Women's,44,Claire Shanovich,,,,,,
Kansas (Betty Ultimate),Women's,45,JANIE REITER,,"5'10""",1,1,,
Cincinnati (Cincinnati Ultimate),Men's,,Nicholas Betsch,,,1,,,
Cincinnati (Cincinnati Ultimate),Men's,,ALEXANDER MARK,,,,,,
Cincinnati (Cincinnati Ultimate),Men's,,Connor Messmore,,,,,,
Cincinnati (Cincinnati Ultimate),Men's,,KEVIN PARKER,,"1'0""",,,,
Cincinnati (Cincinnati Ultimate),Men's,,Michael Raabe,,,,,,
Cincinnati (Cincinnati Ultimate),Men's,,KYLE ROMARD,,,,,,
Cincinnati (Cincinnati Ultimate),Men's,0,Ryan Adams,,"5'10""",3,,,
Cincinnati (Cincinnati Ultimate),Men's,0,SCOTT ALVERSON,,,9,5,,
Cincinnati (Cincinnati Ultimate),Men's,0,JOSHUA FISHER,,"1'0""",,,,
Cincinnati (Cincinnati Ultimate),Men's,0,ALEX FLAMM,,,18,7,,
Cincinnati (Cincinnati Ultimate),Men's,0,ZACHARY FORD,,"6'2""",3,5,,
Cincinnati (Cincinnati Ultimate),Men's,0,STEPHEN KENNY,,"5'9""",,,,
Cincinnati (Cincinnati Ultimate),Men's,0,Nathan Lauback,,,1,,,
Cincinnati (Cincinnati Ultimate),Men's,0,Sophainara Long,,"5'7""",,,,
Cincinnati (Cincinnati Ultimate),Men's,0,JACOB TURNER,,"5'10""",1,,,
Cincinnati (Cincinnati Ultimate),Men's,0,ADAM TURNER,,"6'0""",6,5,,
Cincinnati (Cincinnati Ultimate),Men's,2,KIERAN KELLY,,"6'2""",8,13,,
Cincinnati (Cincinnati Ultimate),Men's,15,ZACHARY RADCLIFF,,"6'2""",1,,,
Cincinnati (Cincinnati Ultimate),Men's,21,DANIEL LATZ,,,1,15,,
Cincinnati (Cincinnati Ultimate),Men's,22,ZACHARY WARNER,,,2,4,,
Cincinnati (Cincinnati Ultimate),Men's,23,STEVEN KOLP,,,,,,
Cincinnati (Cincinnati Ultimate),Men's,28,JOSHUA BRUGGEMAN,,,,,,
Cincinnati (Cincinnati Ultimate),Men's,29,GRANT DINAN,,,1,,,
Cincinnati (Cincinnati Ultimate),Men's,31,GREGORY DINAN,,,,,,
Cincinnati (Cincinnati Ultimate),Men's,33,JUSTIN LATZ,,,4,4,,
Middlebury (Middlebury Lady Pranksters),Women's,0,Allison Aiello,,,3,,,
Middlebury (Middlebury Lady Pranksters),Women's,0,Laura Bashor,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,0,CLAIR BELTRAN,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,0,GRACE BENZ,,,2,6,,
Middlebury (Middlebury Lady Pranksters),Women's,0,REBECCA BERRY,,"5'9""",1,,,
Middlebury (Middlebury Lady Pranksters),Women's,0,Katherine Brown,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,0,Jessica Brownschidle,,,3,2,,
Middlebury (Middlebury Lady Pranksters),Women's,0,RILEY EBEL,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,0,ALY FASSETT-CARMAN,,,2,4,,
Middlebury (Middlebury Lady Pranksters),Women's,0,Yasmine Fernald,,,1,,,
Middlebury (Middlebury Lady Pranksters),Women's,0,CLARA GOTTESMAN,,,3,1,,
Middlebury (Middlebury Lady Pranksters),Women's,0,Sofi Hecht,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,0,SARAH HEMPHILL,,,3,8,,
Middlebury (Middlebury Lady Pranksters),Women's,0,Becca Holdhusen,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,0,ANNA IGLITZIN,,"5'5""",1,,,
Middlebury (Middlebury Lady Pranksters),Women's,0,ISABEL JAMERSON,,,,3,,
Middlebury (Middlebury Lady Pranksters),Women's,0,ANNA JINKS,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,0,Nina Job,,,8,1,,
Middlebury (Middlebury Lady Pranksters),Women's,0,ELLEN KERCHNER,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,0,Addie Mahdavi,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,0,MAEVE MOYNIHAN,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,0,Maggy Mulhern,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,0,Andrea Narciso,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,0,Kristina Ohl,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,0,Jana Parsons,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,0,ERIN REA,,,8,3,,
Middlebury (Middlebury Lady Pranksters),Women's,0,Emma Ronai-Durning,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,0,HAYDEN SHEA,,,3,7,,
Middlebury (Middlebury Lady Pranksters),Women's,0,Emily Sun,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,0,MARY Thomas,,,1,3,,
Middlebury (Middlebury Lady Pranksters),Women's,0,NATALIE VALENTIN,,,1,1,,
Middlebury (Middlebury Lady Pranksters),Women's,0,Malkie Wall,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,0,VIRGINIA WILTSHIRE-GORDON,,,,,,
Middlebury (Middlebury Lady Pranksters),Women's,0,ROSALIE WRIGHT-LAPIN,,,,,,
Cornell (Buds),Men's,0,PABLO AVILA,,,3,,,
Cornell (Buds),Men's,0,Francesco Bray,,"5'10""",,,,
Cornell (Buds),Men's,0,Peter DelNero,,,,,,
Cornell (Buds),Men's,0,Jake Dunoyer,,"5'11""",1,,,
Cornell (Buds),Men's,0,Wyatt Eberspacher,,,,,,
Cornell (Buds),Men's,0,Russell Gray,,,2,,,
Cornell (Buds),Men's,0,Evan Greenberg,,"1'0""",,,,
Cornell (Buds),Men's,0,Mikael Hammer,,"5'8""",3,,,
Cornell (Buds),Men's,0,AUSTIN HARTLEY,,,4,,,
Cornell (Buds),Men's,0,JACOB HERRERA,,"6'1""",,,,
Cornell (Buds),Men's,0,NICK JAMES,,"1'0""",,,,
Cornell (Buds),Men's,0,ETHAN KANNEL,,,,,,
Cornell (Buds),Men's,0,JOSHUA KLEIN,,"5'9""",,2,,
Cornell (Buds),Men's,0,Eliyahu Lehmann,,"5'10""",,,,
Cornell (Buds),Men's,0,FRANKLIN LI,,,3,9,,
Cornell (Buds),Men's,0,JAMES MCCLINTOCK,,"5'10""",3,3,,
Cornell (Buds),Men's,0,Christopher Perrotti,,,2,,,
Cornell (Buds),Men's,0,ROBERT RICKERT,,"6'2""",9,1,,
Cornell (Buds),Men's,0,Alex Semaca,,"6'1""",4,3,,
Cornell (Buds),Men's,0,JAY TAPPEN,,,,,,
Cornell (Buds),Men's,0,JOE THOMPSON,,"6'2""",5,14,,
Cornell (Buds),Men's,0,Carsten Thue-Bludworth,,,,,,
Cornell (Buds),Men's,0,ROBERT VANDER MEULEN,,"5'9""",2,2,,
Cornell (Buds),Men's,0,Yi Fan Wang,,,2,1,,
Cornell (Buds),Men's,0,DANIEL WEKSTEIN,,"6'2""",,4,,
Cornell (Buds),Men's,18,JOHN BRANCATO,Deep,"6'2""",,,,
Cornell (Buds),Men's,25,Jordan Diamond,Handler,,5,7,,
Cornell (Buds),Men's,88,NATE AUGUST,Deep,"6'2""",3,5,,
Notre Dame (Womb),Women's,4,ALEXANDRIA VAWTER,,,,,,
Notre Dame (Womb),Women's,5,KELSEY FINK,,"5'6""",1,15,,
Notre Dame (Womb),Women's,7,Amity Wipson,,,,,,
Notre Dame (Womb),Women's,8,Julia Butterfield,,,11,10,,
Notre Dame (Womb),Women's,10,Courtney Shreve,,,,,,
Notre Dame (Womb),Women's,11,MARA JURKOVIC,,,,,,
Notre Dame (Womb),Women's,15,Mary Andersen,,,16,2,,
Notre Dame (Womb),Women's,19,NICOLE VUJOSEVICH,,,,2,,
Notre Dame (Womb),Women's,21,BRIANNA BOCKER,,,,,,
Notre Dame (Womb),Women's,22,ELAINE ROSE,,,,,,
Notre Dame (Womb),Women's,24,HEATHER FREDRICKSON,,,,7,,
Notre Dame (Womb),Women's,28,DINA VU,,"5'5""",2,1,,
Notre Dame (Womb),Women's,29,Elizabeth Cichon,,,,,,
Notre Dame (Womb),Women's,33,Rachel Francis,,,1,1,,
Notre Dame (Womb),Women's,37,Mary Hermann,,"5'6""",1,1,,
Notre Dame (Womb),Women's,42,Marissa Ray,,,,,,
Notre Dame (Womb),Women's,46,AMALIA CARMONA,,,6,8,,
Notre Dame (Womb),Women's,61,Lauren Zurawski,,,,,,
Notre Dame (Womb),Women's,84,Sarah Lipscomb,,,10,4,,
Notre Dame (Womb),Women's,92,KRISTEN COLLINS,,,,,,
Maryland (Maryland Ultimate),Men's,1,ALAN BRANSON,Handler,,,,,
Maryland (Maryland Ultimate),Men's,2,DAVIDSON GIRARD,Handler,,7,6,,
Maryland (Maryland Ultimate),Men's,3,ERIC BIGGS,Handler,,3,1,,
Maryland (Maryland Ultimate),Men's,4,Matthew Smith,,,,,,
Maryland (Maryland Ultimate),Men's,5,SAMUEL BESSE,,,,,,
Maryland (Maryland Ultimate),Men's,7,LIAM TOAL,Mid,,4,4,,
Maryland (Maryland Ultimate),Men's,8,Sean Reischel,,"6'0""",,,,
Maryland (Maryland Ultimate),Men's,9,Thomas Kinton,,,,1,,
Maryland (Maryland Ultimate),Men's,10,NATE PASCALE,Deep,,2,3,,
Maryland (Maryland Ultimate),Men's,11,LUCAS DENIT,Deep,,,,,
Maryland (Maryland Ultimate),Men's,12,DOUGLAS LAVIN,Deep,,1,,,
Maryland (Maryland Ultimate),Men's,14,Maclean Keller,,"6'0""",,,,
Maryland (Maryland Ultimate),Men's,15,WILLIAM XU,,"1'0""",1,1,,
Maryland (Maryland Ultimate),Men's,16,John Walden,,"5'6""",11,,,
Maryland (Maryland Ultimate),Men's,17,THOMAS NOLL,Deep,,4,,,
Maryland (Maryland Ultimate),Men's,18,Christopher Bernard,,"6'2""",,,,
Maryland (Maryland Ultimate),Men's,19,GARRETT YUNG,Mid,,2,1,,
Maryland (Maryland Ultimate),Men's,20,CARL KINTON,Mid,,2,1,,
Maryland (Maryland Ultimate),Men's,21,MAX CASSELL,Handler,,3,5,,
Maryland (Maryland Ultimate),Men's,22,RYAN SWIFT,Deep,,8,1,,
Maryland (Maryland Ultimate),Men's,26,TIM KREUTZFELDT,,,6,10,,
Maryland (Maryland Ultimate),Men's,27,MYCO PAULO,,"5'6""",,,,
Maryland (Maryland Ultimate),Men's,28,ADRIAN CRAIG,,,,,,
Maryland (Maryland Ultimate),Men's,32,Eliot Fenton,,,2,,,
Maryland (Maryland Ultimate),Men's,33,MARK LIN,Deep,"5'11""",2,8,,
Maryland (Maryland Ultimate),Men's,42,SEAN MANNING,Deep,,,,,
Maryland (Maryland Ultimate),Men's,43,NATHAN PRIOR,Handler,,2,17,,
Maryland (Maryland Ultimate),Men's,49,ZACHARY ARGUELLES,Deep,"5'9""",,,,
Maryland (Maryland Ultimate),Men's,74,ANDREW CREIGHTON,Handler,,,,,
Pittsburgh (Danger),Women's,,KATELYN LOUGHERY,,"5'6""",3,7,,
Pittsburgh (Danger),Women's,0,Alyssa Campisi,,,,,,
Pittsburgh (Danger),Women's,0,DORA DANKO,,"5'6""",,,,
Pittsburgh (Danger),Women's,0,Gabrielle Doran,,,,,,
Pittsburgh (Danger),Women's,0,LAUREN FEDER,,"5'5""",,,,
Pittsburgh (Danger),Women's,0,Haley Grajewski,,"5'5""",2,,,
Pittsburgh (Danger),Women's,0,MARLA JACOBS,,"5'4""",5,4,,
Pittsburgh (Danger),Women's,0,Megan MacGillivray,,"5'6""",5,2,,
Pittsburgh (Danger),Women's,0,LINDA MORSE,,"5'10""",11,5,,
Pittsburgh (Danger),Women's,0,CAROLYN NORMILE,,"1'4""",1,17,,
Pittsburgh (Danger),Women's,0,CATERINA PAGANO,,"5'3""",,2,,
Pittsburgh (Danger),Women's,0,Sara Pike,,"5'3""",1,,,
Pittsburgh (Danger),Women's,0,Sarah Russek,,"5'6""",6,3,,
Pittsburgh (Danger),Women's,0,JESSICA  SHEEHAN,,"1'0""",3,1,,
Pittsburgh (Danger),Women's,0,VAUGHAN SKINKER,,"5'2""",2,1,,
Pittsburgh (Danger),Women's,0,Julia Strother,,"5'6""",,,,
Pittsburgh (Danger),Women's,0,GODA TARCIJONAS,,,2,,,
Pittsburgh (Danger),Women's,23,KATIE CLEVELAND,Handler,"5'2""",1,1,,
